pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_imppar,st_teff,st_rad,st_mass,st_lum,st_logg,releasedate
0,723.20000000,1.480000,,,,0.390000,,,,5040.00,,0.81,,4.25,2021-05-28
1,3.87280000,0.042800,,,,0.000000,,,,4324.00,,0.70,-1.022,4.74,2014-05-14
0,125.94000000,0.435000,,,,0.310000,,,,4324.00,,0.70,-1.022,4.74,2014-05-14
0,5.60000000,0.056000,,,,0.150000,,,,4746.00,,0.74,,4.13,2014-05-14
0,5.60000000,0.060000,,,,0.150000,,,,4816.00,0.71,0.50,,4.43,2018-09-06
0,237.60000000,0.680000,,,,0.190000,,,,4746.00,,0.74,,4.13,2014-05-14
0,3.48700000,0.046000,,,,0.050000,,,,5400.00,,1.10,,4.40,2014-08-27
0,3.48777000,0.040000,,,,0.020000,,,,5393.00,0.91,1.47,,4.69,2018-09-06
0,3.48790500,0.045000,,,,0.022000,,,,5382.64,0.97,1.00,,4.46,2022-05-09
0,3.48777000,0.045200,,,,0.019000,,,,5393.00,,1.01,,4.68,2014-08-27
0,1667.00000000,2.280000,,,,0.050000,,,,4475.00,0.52,0.57,,4.10,2015-01-08
0,1634.00000000,2.360000,,,,0.050000,,,,4550.00,0.64,0.65,-0.804,4.64,2020-07-23
0,74.20000000,0.300000,,,,0.400000,,,,4550.00,0.64,0.65,-0.804,4.64,2020-07-23
0,714.30000000,2.100000,,,,0.210000,,,,,,2.40,,,2015-05-14
0,714.29999000,1.660000,,,,0.210000,,,,4545.00,19.17,2.12,,2.20,2018-09-06
0,655.60000000,1.340000,,,,0.540000,,,,4714.00,0.69,0.74,-0.678,4.26,2014-05-14
0,655.59998000,1.340000,,,,0.540000,,,,4665.00,0.74,0.31,,4.19,2018-09-06
0,2.29070000,0.018500,,,,,8.60,464,,3130.00,0.17,0.16,-2.533,4.93,2021-11-02
0,10037.50000000,2.600000,,3337.10000,,,,370,,580.50,,0.02,,4.72,2014-05-14
0,8040000.00000000,200.000000,20.849,2479.06157,,,,1800,,2320.00,0.24,0.01,-2.850,3.85,2021-05-17
0,,210.000000,,3994.48600,,,,,,,,0.35,,,2014-05-14
0,8.98910000,,,3686.82800,,0.250000,,,,,,0.90,-0.108,,2019-06-27
0,402000000.00000000,7506.000000,12.442,2002.31896,,,,434,,3406.00,0.39,0.37,-1.732,4.83,2021-08-16
0,,440.000000,24.660,5403.00000,,,,2600,,,,,,,2014-05-14
0,1.50896820,0.027520,19.223,390.93090,0.30200,0.036000,,,,6298.00,1.23,1.22,,,2019-03-21
0,1.50895570,,16.700,327.35000,0.38000,0.000000,,1898,,5950.00,1.11,0.95,,4.25,2014-05-14
0,1.50897655,0.025900,15.917,340.07810,0.44000,0.071000,,1834,,5950.00,,,,4.25,2016-03-31
0,1.50896860,0.025360,17.385,327.36490,0.34400,,,1915,,5950.00,1.13,0.95,,4.31,2016-01-14
0,1.50896350,,20.594,,,,2852.63,2036,,5950.00,1.29,,,4.33,2022-08-08
0,1.50896877,,,,,,,,,,,,,,2022-10-18
0,1.50895570,0.026100,16.589,359.14790,,0.000000,,,0.3500,5950.00,1.14,1.03,,,2019-10-24
0,13.24060000,0.105500,10.873,867.67590,3.69000,0.524000,,,,5075.00,0.79,0.89,,,2019-03-21
0,13.24060000,0.105500,10.870,874.00000,3.70000,0.530000,,600,0.8500,5075.00,0.79,0.89,,4.65,2014-05-14
0,13.24060000,0.106000,10.548,883.56740,4.16000,,,647,,5075.00,0.74,0.90,,4.65,2016-01-14
0,2.99433000,0.044000,15.984,743.72220,1.00000,,,1735,,6440.00,1.37,1.26,,4.26,2016-01-14
0,2.99432500,0.044070,16.029,832.71460,1.11000,0.360000,,,,6440.00,1.37,1.27,,,2019-03-21
0,2.99433000,0.043600,16.030,740.51000,0.99000,0.000000,,1657,0.8180,6440.00,1.37,1.27,,4.22,2014-05-14
0,2.99432500,0.043510,15.581,791.39670,0.93000,0.000000,,1715,0.8108,,1.33,1.23,,,2019-10-24
0,,,,,,,,,,6343.00,1.36,1.56,,4.27,2014-08-21
0,2.82805268,0.039200,15.065,277.46559,0.44700,,,1417,0.6040,,1.05,1.00,0.070,4.38,2019-10-10
0,2.82804200,0.039400,15.132,281.91521,0.44800,,,1410,,5675.00,1.05,1.02,,4.41,2016-01-14
0,2.82804200,0.040130,16.141,290.81445,0.38100,0.050000,,,,5675.00,1.12,1.08,,,2019-03-21
0,2.82804100,,,,,,,,0.4300,5675.00,1.12,1.08,,4.38,2022-05-03
0,2.82804200,0.040160,16.140,291.43800,0.41100,0.070000,,1442,0.5730,5675.00,1.12,1.08,,4.38,2014-05-14
0,2.82803915,,17.760,,,,661.13,1293,,5675.00,1.04,,,4.37,2022-08-08
0,4.03519000,0.051070,9.920,423.03173,2.38000,0.067000,,,,5945.00,1.01,1.09,,,2019-03-21
0,4.03515000,,,,,,,,0.3900,5945.00,1.01,1.09,,4.46,2022-05-03
0,4.03519000,0.051000,9.920,415.70400,2.34000,0.000000,,1700,0.3740,5945.00,1.01,1.09,,4.46,2014-05-14
0,4.03504444,,12.533,,,,546.53,1233,,5945.00,1.14,,,4.47,2022-08-09
0,4.03519000,0.051000,14.034,416.99296,0.82000,,,1432,,5945.00,1.27,1.09,,4.26,2016-01-14
0,1.51214000,0.026870,11.411,2437.75610,9.00000,,,1936,,6035.00,1.19,1.12,,4.34,2016-01-14
0,1.51214000,0.026910,12.218,2358.29860,7.10000,0.036000,,,,6040.00,1.21,1.13,,,2019-03-21
0,1.51214000,0.027000,12.220,2415.40000,7.30000,0.000000,,1952,0.8600,6035.00,1.21,1.13,,4.35,2014-05-14
0,5.35227000,0.061800,13.115,168.13207,0.41000,0.370000,,,,5650.00,1.19,1.10,,,2019-03-21
0,5.35227000,0.061800,13.110,170.03200,0.44000,0.330000,,,0.8250,5650.00,1.19,1.10,,4.36,2014-05-14
0,3.76810000,0.046100,11.430,772.29000,2.82000,0.000000,,1626,0.1800,5740.00,1.59,1.04,,4.40,2014-05-14
0,3.76810000,0.048100,11.287,781.86180,3.00580,,,1610,,5740.00,1.62,1.04,,4.04,2016-01-14
0,3.76810000,0.048100,11.433,765.97030,2.81000,0.081000,,,,5740.00,1.59,1.04,,,2019-03-21
0,1.90007690,,,,,,,,0.1800,5440.00,1.00,0.95,,4.40,2022-05-03
0,1.90006930,0.029500,14.684,1099.69180,1.91000,0.025000,,,,5440.00,1.00,0.95,,,2019-03-21
0,1.90009000,0.028800,12.846,1048.83900,2.73000,,,1487,0.0100,,0.88,0.88,-0.170,4.49,2019-10-10
0,1.90006930,0.028600,14.022,1039.30410,2.07000,,,1490,,5440.00,0.92,0.86,,4.44,2016-01-14
0,1.90008625,,15.050,,,,823.70,1366,,5440.00,0.93,,,4.42,2022-08-09
0,1.90006930,0.029500,14.680,1102.82000,2.20000,0.080000,,1550,0.4000,5440.00,1.00,0.95,,4.40,2014-05-14
0,3.89713000,0.051800,14.460,352.78000,0.71000,0.047000,,2000,0.2400,6090.00,1.65,1.21,0.544,4.07,2014-05-14
0,3.89712026,,13.493,,,,1103.81,1470,,6090.00,1.64,,,4.09,2022-08-08
0,3.89713000,0.051200,13.339,346.43470,0.79800,,,1630,,6090.00,1.58,1.18,,4.12,2016-01-14
0,3.89713000,0.051660,14.460,367.09365,0.66800,0.056000,,,,6090.00,1.65,1.21,,,2019-03-21
0,3.89713100,,,,,,,,0.2500,6090.00,1.65,1.21,0.544,4.07,2022-05-03
0,1.74301433,,16.923,,,,932.91,1410,,5529.00,0.94,,,4.48,2022-10-03
0,1.74299350,0.028350,16.365,1134.65310,1.42700,,,1521,,5598.00,0.90,1.00,,4.53,2016-01-14
0,1.74299673,,,,,,,,0.0000,5529.00,0.94,0.97,-0.131,4.48,2015-10-22
0,1.74299640,0.028100,16.421,1051.97300,,0.000000,,,,,,,,,2014-05-16
0,1.74299906,,,,,,,,,,,,,,2022-10-18
0,1.74299700,,,,,,,,,5696.00,,,,4.42,2022-01-24
0,1.74299750,,15.850,1052.01730,1.55300,0.000000,,1535,,5625.00,0.90,0.97,,4.30,2019-11-07
0,1.74299673,0.028100,16.432,1048.83900,1.30000,0.024000,,,,5625.00,0.90,0.97,,,2019-03-21
0,1.74299350,0.028540,16.477,1150.54460,1.41800,,,1548,,5696.00,0.91,1.02,,4.53,2016-01-14
0,1.74299350,0.027980,16.432,1102.82000,1.47000,0.014300,,,0.2210,5625.00,0.91,0.96,,,2014-05-14
0,1.74299609,,16.533,,,,,,,5575.00,,,,,2016-08-18
0,9.24285000,0.089200,13.002,1608.21980,4.00000,,,1100,,5880.00,1.34,1.11,,4.23,2016-01-14
0,9.24285000,0.090200,9.420,1347.54000,8.87000,0.562000,,1002,0.2600,5880.00,1.02,1.14,,4.20,2014-05-14
0,9.24318000,0.089100,11.209,1315.81620,5.20000,,,1024,0.6000,,1.16,1.10,0.170,4.35,2019-10-10
0,9.24285000,0.090100,9.416,1344.42090,8.90000,0.575000,,,,5880.00,1.02,1.14,,,2019-03-21
0,9.24323029,,15.397,,,,180.87,935,,5880.00,1.30,,,4.48,2022-08-08
0,9.24285000,0.090000,,1366.66900,,0.590000,,,,,,1.14,,,2018-07-19
0,1675.00000000,2.900000,,,,0.600000,,,,,,1.14,,,2018-07-19
0,2.72474000,0.041600,14.572,705.58260,1.24000,0.390000,,,,6200.00,1.95,1.29,,,2019-03-21
0,2.72474000,0.041700,14.572,718.29580,1.36000,0.000000,,,0.2500,6200.00,1.95,1.29,,3.70,2018-12-06
0,9.75598000,0.092000,4.880,12.20000,0.24900,0.077000,,885,0.0120,5939.00,1.14,1.10,,4.36,2014-08-21
0,3.63130000,0.048090,13.227,972.55980,2.32750,,,1710,,5900.00,1.74,1.12,,4.01,2016-01-14
0,3.63130000,0.048400,11.769,982.09470,3.30000,0.160000,,,,5900.00,1.61,1.14,,,2019-03-21
0,3.63130000,0.048000,11.770,889.90000,3.00000,0.160000,,1660,0.5600,5900.00,1.61,1.14,,4.30,2014-05-14
0,5.11340000,0.056000,3.700,5.70000,0.90000,0.000000,,1070,0.6500,4950.00,0.86,0.91,,4.55,2018-05-31
0,11.75900000,0.098000,5.000,28.00000,1.30000,0.000000,,850,0.3000,4950.00,0.86,0.91,,4.55,2014-06-11
0,4.86069000,0.057890,12.106,93.12419,0.24000,0.220000,,,,6040.00,1.19,1.09,,,2019-03-21
0,4.86069000,0.057800,12.110,85.81000,0.15000,0.000000,,1330,0.9400,6040.00,1.19,1.09,,4.31,2014-05-14
